#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:22:52.593183348Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:22:54.598900095Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:22:56.172687899Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:22:57.733067792Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:22:59.293523677Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:00.835744248Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:02.391519542Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:04.053900516Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:05.610759679Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:07.548991271Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:09.119054381Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:10.690987442Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:12.238100421Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:13.843274075Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:15.39667138Z,-0.361,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:18.588387716Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:20.159512278Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:21.762116758Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:23.32567269Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:24.88038441Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:26.453145016Z,-0.359,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:28.016843733Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:29.648344488Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:31.301152088Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:33.040368568Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:36.108866604Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:37.703794145Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:39.322300124Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:40.976020448Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:42.527502165Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:44.270760532Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:45.86599473Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:47.453026655Z,-0.36,pressure,ezoprs
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:33.231577853Z,2026-04-24T21:23:49.031062974Z,-0.36,pressure,ezoprs
