#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:14.096846538Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:15.922290203Z,0.0006304,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:17.428075455Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:18.988945215Z,0.003,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:20.392788782Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:21.89776427Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:23.312040585Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:25.017506716Z,0.0005808,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:26.423599231Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:27.835260809Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:29.264459029Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:30.693574483Z,0.003,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:32.101807551Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:33.561337651Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:34.972288362Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:36.423469149Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:37.885542366Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:39.340411643Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:40.745309365Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:42.234791714Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:43.670504666Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:45.10933923Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:46.522562466Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:47.9675021Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:49.472594802Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:50.885734081Z,0.001,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:52.282332101Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:53.712317233Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:55.175669983Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:56.56992896Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:57.97403863Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:03:59.394509475Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:01.126390596Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:02.513523022Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:03.926895669Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:05.321375815Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:06.751657336Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:08.16358993Z,0.004,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:09.591563648Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:11.094904979Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:12.559907571Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:14.040637253Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:15.490346115Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:17.180006282Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:18.561319114Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:19.965982233Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:21.452499346Z,0.001,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:22.858784098Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:24.437476019Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:25.833051321Z,0.002,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:27.269443557Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:28.65012015Z,0,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:30.274880435Z,0.002,power,ptc10
,,0,2026-04-24T17:00:00Z,2026-04-28T15:56:32.24238866Z,2026-04-24T21:04:31.675254671Z,0,power,ptc10
